Set Name,Set ID,Total Cards,Total Estimated Value
Destined Rivals,567,244,0
Glory of Team Rocket,566,132,0
Journey Together,562,333,0
Hot Air Arena,560,92,0
Battle Partners,558,132,0
Mcdonald's Dragon Discovery,559,15,0
Prismatic Evolutions,557,447,0
Terastal Festival ex,556,525,0
Surging Sparks,555,417,0
Super Electric Breaker,552,138,0
Paradise Dragona,550,94,0
Stellar Crown,549,300,0
Trick or Trade 2024,554,30,0
Shrouded Fable,548,154,0
Stellar Miracle,547,135,0
Night Wanderer,546,94,0
Twilight Masquerade,545,373,0
Mask of Change,544,133,0
Crimson Haze,543,96,0
Temporal Forces,542,358,0
Paldean Fates,539,326,0
Cyber Judge,541,100,0
Wild Force,540,100,0
Shiny Treasure ex,538,463,0
Trading Card Game Classic,561,102,0
Paradox Rift,536,428,0
Trading Card Game Classic Japanese Charizard,563,34,0
Trading Card Game Classic Japanese Venusaur,565,34,0
Trading Card Game Classic Japanese Blastoise,564,34,0
Ancient Roar,534,95,0
Future Flash,535,95,0
Pokemon Card 151,532,360,0
Raging Surf,533,92,0
Trick or Trade 2023,531,30,0
Obsidian Flames,517,406,0
Ruler of the Black Flame,516,141,0
McDonald's Promos 2023,530,15,0
Pokemon Card 151 Japanese,514,516,0
Paldea Evolved,513,455,0
Snow Hazard,511,99,0
Clay Burst,512,99,0
Scarlet & Violet Base,510,444,0
Triplet Beat,509,103,0
Violet ex,508,108,0
Scarlet ex,507,108,0
Crown Zenith,506,342,0
Scarlet & Violet Promos,515,217,0
VSTAR Universe,505,262,0
SV-P Promos,537,149,0
Silver Tempest,503,387,0
Paradigm Trigger,502,125,0
Lost Origin,400,396,0
Incandescent Arcana,401,94,0
Trick or Trade 2022,504,30,0
Mcdonald's Promos 2022,399,15,0
VSTAR Special Set,489,6,0
Deoxys VSTAR & VMAX High-Class Deck,417,21,0
Lost Abyss,388,127,0
Zeraora VSTAR & VMAX High-Class Deck,492,21,0
Pokemon GO,387,148,0
Pokemon GO Japanese,366,93,0
Astral Radiance,182,374,0
Dark Phantasma,184,99,0
Time Gazer,180,88,0
Space Juggler,181,88,0
Darkrai VSTAR Starter Set,416,20,0
Battle Region,179,93,0
Brilliant Stars,178,340,0
Lucario VSTAR Starter Set,432,21,0
Start Deck 100 CoroCoro Comic Version,454,25,0
Star Birth,177,127,0
VSTAR Premium Trainer Box,488,30,0
Start Deck 100,453,430,0
VMAX Climax,173,285,0
Zacian & Zamazenta vs Eternatus Special Deck Set,490,30,0
Fusion Strike,172,501,0
25th Anniversary Collection,117,47,0
25th Anniversary Golden Box,402,16,0
Promo Card Pack 25th Anniversary Edition,446,25,0
Celebrations,112,25,0
Celebrations: Classic Collection,111,25,0
Fusion Arts,118,129,0
Evolving Skies,108,369,0
V-UNION Special Card Sets,477,13,0
Blue Sky Stream,119,90,0
Sword & Shield Family Pokémon Card Game,458,53,0
Towering Perfection,120,90,0
Chilling Reign,26,370,0
Eevee Heroes VMAX Special Set,420,8,0
Inteleon VMAX High-Class Deck,425,24,0
Gengar VMAX High-Class Deck,423,21,0
Eevee Heroes,115,101,0
Silver Lance,122,95,0
Jet Black Spirit,121,95,0
Silver Lance & Jet-Black Spirit Jumbo Pack Set,449,6,0
Matchless Fighter,116,96,0
Battle Styles,20,306,0
Shining Fates,21,241,0
Mcdonald's 25th Anniversary,171,50,0
Single Strike & Rapid Strike Premium Trainer Boxes,450,33,0
Single Strike Master,124,91,0
Rapid Strike Master,123,91,0
VMAX Starter Set 2 (Charizard),487,21,0
VMAX Starter Set (Blastoise),483,20,0
VMAX Starter Set (Venusaur),486,21,0
Vivid Voltage,3,345,0
VMAX Special Set,482,8,0
Shiny Star V s4A,114,330,0
Champion's Path,2,134,0
Astonishing Volt Tackle,125,121,0
Darkness Ablaze,4,356,0
Legendary Heartbeat,126,94,0
V Starter Decks,471,127,0
Infinity Zone,127,119,0
Rebel Clash,5,360,0
Explosive Walker,128,86,0
VMAX Starter Set (Grimmsnarl),485,20,0
VMAX Starter Set (Charizard),484,21,0
Rebellion Crash,129,115,0
VMAX Rising,130,86,0
Sword & Shield,6,399,0
Zacian Zamazenta Box,491,7,0
Shield,131,75,0
Sword & Shield Premium Trainer Box,459,33,0
Sword,132,75,0
V Starter Set (Grass),474,23,0
V Starter Set (Fighting),472,24,0
V Starter Set (Water),476,23,0
V Starter Set (Lightning),475,24,0
V Starter Set (Fire),473,23,0
S-P Promos,460,285,0
Cosmic Eclipse,7,464,0
McDonald's Promos 2019,521,12,0
Tag Team GX All Stars,133,226,0
Sword & Shield Promo,109,314,0
Alter Genesis,134,117,0
Hidden Fates,1,218,0
Dream League,135,75,0
Unified Minds,8,454,0
Remix Bout,136,80,0
Tag Team GX Starter Sets,464,31,0
Miracle Twin,137,115,0
Unbroken Bonds,24,410,0
Sky Legend,139,69,0
Great Detective Pikachu,138,25,0
GG End,140,69,0
Detective Pikachu,23,18,0
Sun & Moon Family Box,455,51,0
Double Blaze,141,115,0
Tag Team GX Deck Build Box,462,29,0
Full Metal Wall,142,69,0
Team Up,9,357,0
Trainer Battle Decks,467,31,0
Night Unison,143,70,0
Tag Bolt,144,118,0
Tag Team GX Premium Trainer Box,463,44,0
"Flareon-GX, Vaporeon-GX & Jolteon-GX Starter Sets",422,38,0
Lost Thunder,10,409,0
GX Ultra Shiny,145,243,0
McDonald's Promos 2018,522,12,0
Dark Order,146,52,0
Explosive Impact,147,95,0
Dragon Majesty,11,134,0
Celestial Storm,12,320,0
Fairy Rise,148,50,0
GX Starter Decks,424,131,0
Thunderclap Spark,149,60,0
Charisma of the Cracked Sky,150,112,0
Forbidden Light,13,250,0
Dragon Storm,152,66,0
Champion Road,151,86,0
Forbidden Light Japanese,153,110,0
Ultra Sun & Ultra Moon Deck Build Boxes,468,41,0
Ultra Prism,14,298,0
Ultra Force,154,63,0
Ultra Sun,156,78,0
Ultra Moon,155,78,0
Ultra Sun & Ultra Moon Premium Trainer Box,469,29,0
Solgaleo-GX & Lunala-GX Legendary Starter Set,451,21,0
Crimson Invasion,15,216,0
GX Battle Boost,157,125,0
Shining Legends,16,138,0
Transdimensional Beast,158,62,0
