Set Name,Set ID,Total Cards,Total Estimated Value
Destined Rivals,567,244,3121.73
Glory of Team Rocket,566,132,931.48
Journey Together,562,333,766.73
Hot Air Arena,560,92,682.14
Battle Partners,558,132,674.15
Mcdonald's Dragon Discovery,559,15,10.219999999999999
Prismatic Evolutions,557,447,6347.150000000001
Terastal Festival ex,556,525,2582.64
Surging Sparks,555,417,1222.2
Super Electric Breaker,552,138,629.16
Paradise Dragona,550,94,414.5
Stellar Crown,549,300,440.48
Trick or Trade 2024,554,30,5.21
Shrouded Fable,548,154,645.93
Stellar Miracle,547,135,300.8
Night Wanderer,546,94,274.7
Twilight Masquerade,545,373,1046.6
Mask of Change,544,133,375.69
Crimson Haze,543,96,499.53
Temporal Forces,542,358,799.52
Paldean Fates,539,326,1339.33
Cyber Judge,541,100,241.35
Wild Force,540,100,302.38
Shiny Treasure ex,538,463,1326.08
Trading Card Game Classic,561,102,255.65
Paradox Rift,536,428,879.45
Trading Card Game Classic Japanese Charizard,563,34,202.31
Trading Card Game Classic Japanese Venusaur,565,34,141.73
Trading Card Game Classic Japanese Blastoise,564,34,79.13
Ancient Roar,534,95,224.5
Future Flash,535,95,259.61
Pokemon Card 151,532,360,1062.63
Raging Surf,533,92,333.4
Trick or Trade 2023,531,30,3.5300000000000002
Obsidian Flames,517,406,283.82
Ruler of the Black Flame,516,141,418.84000000000003
McDonald's Promos 2023,530,15,9.67
Pokemon Card 151 Japanese,514,516,3793.47
Paldea Evolved,513,455,1118.42
Snow Hazard,511,99,275.4
Clay Burst,512,99,634.67
Scarlet & Violet Base,510,444,529.13
Triplet Beat,509,103,418.44
Violet ex,508,108,349.65
Scarlet ex,507,108,391.14
Crown Zenith,506,342,1214.68
Scarlet & Violet Promos,515,217,3257.47
VSTAR Universe,505,262,1323.49
SV-P Promos,537,149,1573.49
Silver Tempest,503,387,853.14
Paradigm Trigger,502,125,655.14
Lost Origin,400,396,1212.8
Incandescent Arcana,401,94,331.90999999999997
Trick or Trade 2022,504,30,3.84
Mcdonald's Promos 2022,399,15,6.1
VSTAR Special Set,489,6,15.89
Deoxys VSTAR & VMAX High-Class Deck,417,21,122.74000000000001
Lost Abyss,388,127,980.1899999999999
Zeraora VSTAR & VMAX High-Class Deck,492,21,119.57000000000001
Pokemon GO,387,148,290.34
Pokemon GO Japanese,366,93,236.81
Astral Radiance,182,374,971.97
Dark Phantasma,184,99,237.6
Time Gazer,180,88,326.55
Space Juggler,181,88,262.7
Darkrai VSTAR Starter Set,416,20,23.73
Battle Region,179,93,344.16
Brilliant Stars,178,340,979.48
Lucario VSTAR Starter Set,432,21,158.22
Start Deck 100 CoroCoro Comic Version,454,25,292.88
Star Birth,177,127,556.31
VSTAR Premium Trainer Box,488,30,197.32
Start Deck 100,453,430,1916.03
VMAX Climax,173,285,1239.32
Zacian & Zamazenta vs Eternatus Special Deck Set,490,30,199.18
Fusion Strike,172,501,1487.47
25th Anniversary Collection,117,47,187.06
25th Anniversary Golden Box,402,16,260.28000000000003
Promo Card Pack 25th Anniversary Edition,446,25,876.66
Celebrations,112,25,49.13
Celebrations: Classic Collection,111,25,273.83
Fusion Arts,118,129,665.96
Evolving Skies,108,369,5463.76
V-UNION Special Card Sets,477,13,99.58
